sku;handle;produto;categoria;custo;venda;aliexpress;foto_local
carro-099;lixeira-carro-couro;Lixeira Carro Couro;Carro;28,49;56,98;https://pt.aliexpress.com/w/wholesale-car+trash+bin+leather.html;assets/img/ali/carro-099.jpg
carro-100;camera-dvr-dual;Câmera DVR Dual;Carro;142,45;284,90;https://pt.aliexpress.com/w/wholesale-dual+dash+cam+front+rear.html;assets/img/ali/carro-100.jpg
beleza-101;massageador-de-pescoco;Massageador de Pescoço;Beleza;15,95;31,90;https://pt.aliexpress.com/w/wholesale-electric+neck+massager.html;assets/img/ali/beleza-101.jpg
beleza-102;massageador-facial-led;Massageador Facial LED;Beleza;48,69;97,38;https://pt.aliexpress.com/w/wholesale-led+facial+massager.html;assets/img/ali/beleza-102.jpg
beleza-103;escova-alisadora;Escova Alisadora;Beleza;66,30;132,60;https://pt.aliexpress.com/w/wholesale-hair+straightener+brush.html;assets/img/ali/beleza-103.jpg
beleza-104;secador-compacto;Secador Compacto;Beleza;60,09;120,18;https://pt.aliexpress.com/w/wholesale-travel+hair+dryer.html;assets/img/ali/beleza-104.jpg
beleza-105;espelho-led-maquiagem;Espelho LED Maquiagem;Beleza;52,84;105,68;https://pt.aliexpress.com/w/wholesale-led+makeup+mirror.html;assets/img/ali/beleza-105.jpg
beleza-106;depilador-eletrico;Depilador Elétrico;Beleza;72,00;144,00;https://pt.aliexpress.com/w/wholesale-electric+epilator+women.html;assets/img/ali/beleza-106.jpg
beleza-107;kit-skincare-rolo;Kit Skincare Rolo;Beleza;23,31;46,62;https://pt.aliexpress.com/w/wholesale-jade+roller+gua+sha+set.html;assets/img/ali/beleza-107.jpg
beleza-108;aparador-pelos-nariz;Aparador Pelos Nariz;Beleza;26,94;53,88;https://pt.aliexpress.com/w/wholesale-nose+hair+trimmer.html;assets/img/ali/beleza-108.jpg
beleza-109;escova-facial-sonica;Escova Facial Sônica;Beleza;40,40;80,80;https://pt.aliexpress.com/w/wholesale-sonic+facial+cleansing+brush.html;assets/img/ali/beleza-109.jpg
beleza-110;modelador-cachos;Modelador Cachos;Beleza;74,59;149,18;https://pt.aliexpress.com/w/wholesale-hair+curler+automatic.html;assets/img/ali/beleza-110.jpg
beleza-111;removedor-cravos;Removedor Cravos;Beleza;44,55;89,10;https://pt.aliexpress.com/w/wholesale-blackhead+vacuum+remover.html;assets/img/ali/beleza-111.jpg
beleza-112;lixa-pe-eletrica;Lixa Pé Elétrica;Beleza;47,14;94,28;https://pt.aliexpress.com/w/wholesale-electric+foot+file.html;assets/img/ali/beleza-112.jpg
beleza-113;kit-manicure-18pc;Kit Manicure 18pç;Beleza;32,63;65,26;https://pt.aliexpress.com/w/wholesale-manicure+set+18+pcs.html;assets/img/ali/beleza-113.jpg
beleza-114;chapinha-mini;Chapinha Mini;Beleza;36,78;73,56;https://pt.aliexpress.com/w/wholesale-mini+hair+straightener.html;assets/img/ali/beleza-114.jpg
beleza-115;faixa-skincare;Faixa Skincare;Beleza;11,40;22,80;https://pt.aliexpress.com/w/wholesale-skincare+headband.html;assets/img/ali/beleza-115.jpg
beleza-116;organizadora-maquiagem;Organizadora Maquiagem;Beleza;50,25;100,50;https://pt.aliexpress.com/w/wholesale-makeup+organizer+acrylic.html;assets/img/ali/beleza-116.jpg
beleza-117;pinca-led-sobrancelha;Pinça LED Sobrancelha;Beleza;17,61;35,22;https://pt.aliexpress.com/w/wholesale-led+eyebrow+tweezers.html;assets/img/ali/beleza-117.jpg
beleza-118;spray-nano-facial;Spray Nano Facial;Beleza;35,22;70,44;https://pt.aliexpress.com/w/wholesale-nano+facial+mister.html;assets/img/ali/beleza-118.jpg
beleza-119;massageador-couro-cabeludo;Massageador Couro Cabeludo;Beleza;20,20;40,40;https://pt.aliexpress.com/w/wholesale-scalp+massager+shampoo.html;assets/img/ali/beleza-119.jpg
beleza-120;kit-barba-homem;Kit Barba Homem;Beleza;78,74;157,48;https://pt.aliexpress.com/w/wholesale-men+beard+kit+trimmer.html;assets/img/ali/beleza-120.jpg
esporte-121;tapete-yoga-6mm;Tapete Yoga 6mm;Esporte;81,64;163,28;https://pt.aliexpress.com/w/wholesale-yoga+mat+6mm+non+slip.html;assets/img/ali/esporte-121.jpg
esporte-122;tapete-yoga-extra-grosso;Tapete Yoga Extra Grosso;Esporte;94,28;188,56;https://pt.aliexpress.com/w/wholesale-thick+yoga+mat+10mm.html;assets/img/ali/esporte-122.jpg
esporte-123;meias-compressao-20-30;Meias Compressão 20-30;Esporte;16,21;32,42;https://pt.aliexpress.com/w/wholesale-compression+socks+20-30+mmhg.html;assets/img/ali/esporte-123.jpg
